disease	taxon_rank_level	ncbi_taxon_id	samples	abus_mean	abus_median	abus_sd
D003424	genus	1215913	1	0.109210047	0.109210047	
D003424	genus	1276290	1	0.024649998	0.024649998	
D003424	genus	1281902	1	0.055248619	0.055248619	
D003424	genus	1330545	1	0.002805252	0.002805252	
D003424	genus	1330546	1	0.017340002	0.017340002	
D003424	genus	1330547	1	0.116599988	0.116599988	
D003424	genus	1427376	1	0.070293828	0.070293828	
D003424	genus	1504576	1	0.656044986	0.656044986	
D003424	genus	1649512	1	0.080520701	0.080520701	
D003424	genus	1677050	1	0.063141279	0.063141279	
D003424	genus	1742989	1	0.08595496	0.08595496	
D003424	genus	1759365	1	0.055248619	0.055248619	
D003424	genus	1775121	1	0.024789998	0.024789998	
D003424	genus	1777753	1	0.071877808	0.071877808	
D003424	genus	1794910	1	0.106550908	0.106550908	
D003424	genus	1840214	1	0.079666339	0.079666339	
D003424	genus	1882917	1	0.051302289	0.051302289	
D003424	genus	1903434	1	0.031279997	0.031279997	
D003424	genus	1918452	1	0.027360003	0.027360003	
D003424	genus	1918542	1	0.003549999	0.003549999	
D003424	genus	1921511	1	0.071033938	0.071033938	
D003424	genus	1926655	1	1.935000194	1.935000194	
D003424	genus	1929045	1	0.017533054	0.017533054	
D003424	genus	1935192	1	0.024270002	0.024270002	
D003424	genus	1937008	1	0.090887348	0.090887348	
D003424	genus	1981033	1	0.9997596	0.9997596	
D003424	genus	1981050	1	0.542729152	0.542729152	
D003424	genus	2026349	1	0.00021	0.00021	
D003424	genus	2039714	1	0.063141279	0.063141279	
D003424	genus	2596745	1	0.00227	0.00227	
D003424	genus	2692118	1	0.168800017	0.168800017	
D003424	genus	2767876	1	0.377358491	0.377358491	
D003424	genus	2767892	1	0.016949998	0.016949998	
D003424	genus	2803850	1	0.024350007	0.024350007	
D003424	genus	2817139	1	0.005279999	0.005279999	
D003424	genus	2847307	1	2.069310621	2.069310621	
D003424	genus	2884610	1	0.004999999	0.004999999	
D003424	genus	2995122	1	0.015450002	0.015450002	
